Date,0,1,2,3
1940-06-26,177,28391,14512,15030
1940-06-27,178,15974,15243,12110
1940-06-28,179,11420,13577,21149
1940-06-29,180,4289,12020,16190
1940-06-30,181,27927,20408,11847
1940-07-01,182,19510,2612,23210
1940-07-02,183,7853,23345,29554
1940-07-03,184,13424,27607,22554
1940-07-04,185,9104,28314,29868
1940-07-05,186,4801,1729,20153
1940-07-06,187,22472,1141,26995
1940-07-07,188,23016,12485,28463
1940-07-08,189,24173,9412,21829
1940-07-09,190,27401,3112,23352
1940-07-10,191,13158,27402,587
1940-07-11,192,8227,6067,7497
1940-07-12,193,8990,1654,4972
1940-07-13,194,11334,21683,3055
1940-07-14,195,27467,14622,7500
1940-07-15,196,14592,27010,24850
1940-07-16,197,21564,6406,3119
1940-07-17,198,25917,21168,8903
1940-07-18,199,19739,21169,25918
1940-07-19,200,16422,8235,6409
1940-07-20,201,14263,19284,17762
1940-07-21,202,1328,28508,20807
1940-07-22,203,22269,20808,1695
1940-07-23,204,5044,19379,27384
1940-07-24,205,18619,24859,7541
1940-07-25,206,25925,8545,25651
1940-07-26,207,23673,24404,876
1940-07-27,208,8608,1973,26231
1940-07-28,209,7087,28362,3496
1940-07-29,210,22003,7149,28059
1940-07-30,211,2798,17529,28152
1940-07-31,212,608,25565,28518
1940-08-01,213,25566,14578,18627
1940-08-02,214,16801,3835,4597
1940-08-03,215,580,28825,3714
1940-08-04,216,20821,28491,23712
1940-08-05,217,29192,23744,15343
1940-08-06,218,18540,2470,17901
1940-08-07,219,2622,9868,7575
1940-08-08,220,27003,9869,2199
1940-08-09,221,7799,15162,28450
1940-08-10,222,5081,17939,19092
1940-08-11,223,20098,5609,10390
1940-08-12,224,3693,12444,12762
1940-08-13,225,24117,26674,5703
1940-08-14,226,17544,27406,6861
1940-08-15,227,5493,24638,27315
1940-08-16,228,24547,16401,24028
1940-08-17,229,26875,23007,17367
1940-08-18,230,7382,4400,6592
1940-08-19,231,7364,19198,6876
1940-08-20,232,12300,391,22496
1940-08-21,233,16424,7141,17916
1940-08-22,234,12773,8695,12074
1940-08-23,235,15361,19287,17461
1940-08-24,236,13902,12045,29941
1940-08-25,237,4315,13538,4589
1940-08-26,238,5412,3798,22273
1940-08-27,239,10069,4469,22213
1940-08-28,240,9396,28670,24197
1940-08-29,241,14971,25594,1336
1940-08-30,242,27695,23373,16099
1940-08-31,243,19660,15522,17895
1940-09-01,244,23983,26024,24928
1940-09-02,245,10106,5997,2709
1940-09-03,246,24777,10107,10015
1940-09-04,247,10016,13030,7978
1940-09-05,248,18204,26909,21585
1940-09-06,249,28322,3368,20881
1940-09-07,250,17519,17495,20641
1940-09-08,251,12152,6628,26888
1940-09-09,252,3595,25619,9896
1940-09-10,253,22745,20282,11150
1940-09-11,254,7988,20296,23842
1940-09-12,255,14175,16477,6247
1940-09-13,256,9752,5369,14713
1940-09-14,257,9296,3087,4913
1940-09-15,258,11367,19402,7105
1940-09-16,259,26251,23329,15659
1940-09-17,260,25095,21869,7473
1940-09-18,261,5070,20501,15965
1940-09-19,262,11279,7048,20502
1940-09-20,263,20503,840,2089
1940-09-21,264,8449,21759,26501
1940-09-22,265,6825,22318,483
1940-09-23,266,18530,10426,12602
1940-09-24,267,10312,19472,13264
1940-09-25,268,19933,19261,8868
1940-09-26,269,29791,8072,3044
1940-09-27,270,18318,19779,14727
1940-09-28,271,19780,12384,22337
1940-09-29,272,22550,16767,7850
1940-09-30,273,26053,1946,7851
1940-10-01,274,28184,21610,15400
1940-10-02,275,2831,11750,7580
1940-10-03,276,18782,8007,21093
1940-10-04,277,19329,10564,21521
1940-10-05,278,21979,28127,4203
1940-10-06,279,29954,4935,28189
