Date,0,1,2,3
1952-11-24,177,22277,12530,8136
1954-07-24,178,102,23952,14059
1954-09-17,179,22390,10471,27107
1954-11-27,180,21563,17873,5045
1954-12-25,181,17306,18423,21248
1955-06-07,182,29939,27167,11686
1956-01-22,183,1274,24211,14105
1958-02-24,184,22536,16786,15577
1958-07-24,185,17787,5329,718
1959-03-25,186,3443,12154,21345
1959-09-27,187,10025,23677,10968
1960-04-22,188,23672,29088,14487
1960-05-09,189,1439,26958,3567
1960-07-04,190,29479,3741,16602
1961-03-22,191,8337,10491,17777
1961-04-20,192,12763,2334,22647
1961-05-10,193,17124,1492,14942
1961-10-19,194,8203,25774,15442
1961-11-03,195,25664,16002,3679
1963-10-03,196,9627,26145,22992
1963-11-17,197,23604,12950,15189
1964-04-08,198,18320,20410,23271
1964-08-17,199,20583,9119,20130
1965-01-04,200,18367,20067,12194
1965-11-01,201,18952,8232,1167
1965-11-28,202,3811,4655,20472
1966-01-07,203,1081,22736,2741
1966-03-11,204,2555,3578,14131
1967-02-08,205,17621,25305,26309
1967-03-03,206,13057,11631,17590
1967-03-28,207,14344,8906,25687
1968-07-01,208,22426,20224,7620
1969-02-24,209,30016,16784,27330
1971-05-02,210,20030,22962,29347
1972-09-27,211,17297,3406,2455
1973-03-14,212,18630,10931,12517
1973-03-26,213,2316,9006,19975
1973-03-28,214,29430,7954,16158
1973-05-05,215,13123,6606,23857
1973-12-31,216,15641,27808,8125
1974-01-07,217,11333,8738,17645
1974-09-28,218,9865,29422,26259
1974-10-07,219,1935,25983,12861
1974-11-14,220,2401,25342,18092
1975-05-16,221,14969,11134,21298
1975-07-14,222,558,16676,17519
1976-09-23,223,21100,29163,12347
1976-12-28,224,27162,7292,17172
1977-04-01,225,20090,18079,17108
1977-04-08,226,12906,12874,4906
1977-06-29,227,5458,6858,3562
1977-12-27,228,10808,2994,21564
1978-05-30,229,29973,20208,18446
1979-11-27,230,2832,9619,2589
1981-04-25,231,547,26513,25308
1981-07-10,232,27427,18573,15449
1981-10-02,233,24158,18447,29037
1982-05-07,234,24292,5201,2675
1982-11-19,235,3323,1440,6929
1983-05-02,236,5315,15452,24795
1983-06-30,237,24242,9893,19346
1983-07-25,238,20883,29178,8062
1983-11-13,239,1391,20522,5476
1984-07-19,240,978,3685,1419
1986-09-19,241,27985,7946,15392
1986-09-23,242,14565,25565,25436
1987-02-02,243,14925,29063,9904
1987-03-15,244,6663,25706,21333
1987-03-23,245,13714,25385,3095
1987-04-19,246,29492,20878,27898
1987-10-22,247,3096,29371,1760
1988-04-02,248,13856,371,17406
1988-10-27,249,18600,6037,4279
1989-03-12,250,20502,14114,6469
1989-06-19,251,28828,11107,24587
1989-09-01,252,24957,27552,21445
1989-09-06,253,12757,5053,10416
1990-01-07,254,12578,21144,8287
1990-04-14,255,15786,11839,19951
1990-04-26,256,20020,20891,28308
1991-05-06,257,27195,9480,13566
1991-11-01,258,21768,16276,14125
1992-03-10,259,26032,23924,1179
1992-05-12,260,15390,12053,19128
1992-07-30,261,27144,16903,5358
1992-11-03,262,77,28368,16412
1993-01-09,263,26152,6455,24598
1993-02-05,264,2391,14827,19710
1993-04-21,265,6527,23085,17061
1993-12-20,266,14660,13256,1141
1994-03-04,267,780,4553,27578
1995-04-21,268,10315,13440,17909
1995-09-29,269,22869,9113,21419
1996-01-18,270,6794,9988,16052
1996-03-11,271,23080,26090,6924
1997-02-28,272,19454,14362,23403
1998-02-02,273,7251,1504,13620
1998-12-26,274,10554,4447,28908
1999-03-12,275,17206,13317,3370
1999-12-27,276,29170,25005,7738
2000-06-01,277,17044,2843,16033
2001-08-03,278,15387,11732,14029
2001-10-25,279,920,14273,27923
2003-03-16,280,28197,691,11109
2003-08-07,281,20402,26027,19717
2003-08-17,282,29311,1783,25732
2003-11-12,283,22085,14329,595
2004-12-06,284,16175,22078,21344
2005-03-05,285,8852,4328,19289
2005-03-17,286,11863,7065,8146
2005-08-03,287,1778,27368,796
2005-09-07,288,24548,17958,6032
2006-08-14,289,14502,22834,23757
2007-02-09,290,28205,23185,8570
2007-05-24,291,4971,20517,4052
2008-10-10,292,17981,23370,27893
2010-05-18,293,21259,29330,607
2010-05-19,294,12851,27475,18119
2011-02-25,295,2190,18825,6558
2011-09-11,296,13347,11002,18166
2012-07-12,297,26044,7828,109
2012-11-08,298,3236,2769,20416
2013-05-23,299,17435,16634,17812
2013-10-05,300,1758,24011,18124
2014-03-30,301,8603,11504,13899
2014-05-05,302,21847,20205,3155
2014-08-02,303,17965,15627,21147
2014-10-16,304,9098,25558,13987
