Date,Day1,Day2,Day3,Day4
1940-01-01,0.0,21.13622884305958,23.089044307297602,25.36831924693375
1940-01-02,2.3360154559928683e-06,19.240736142200756,20.16639407477358,22.33502130972716
1940-01-03,2.6973983046972182e-06,47.43609659183918,52.67375507035887,58.408002254848185
1940-01-04,2.3360154559928683e-06,28.145314906408608,29.831485196788613,30.569119727822528
1940-01-05,0.0,37.90831908907476,40.039965607778534,41.54800316034121
1940-01-06,0.0,32.195468531163996,39.57790854396325,39.6800730820367
1940-01-07,0.0,29.80713409550854,33.993641670961956,34.10401898532371
1940-01-08,3.814697265625e-06,30.097991783052912,31.80266737169939,31.920963243918475
1940-01-09,0.0,49.864268509319494,50.13216733109794,53.38966579750175
1940-01-10,2.6973983046972182e-06,48.95866780928989,49.03097135831732,54.64337831560313
1940-01-11,0.0,38.165567040113196,39.69742790876366,45.956711613746556
1940-01-12,2.3360154559928683e-06,38.26093922564043,40.15578188557194,40.73389698774059
1940-01-13,5.3947966093944364e-06,77.01981891314247,89.51419678206382,101.89590498377416
1940-01-14,0.0,46.440084141229825,46.73801596394654,55.433106360163954
1940-01-15,0.0,15.261972243858475,16.790362445184655,17.52686756867983
1940-01-16,2.6973983046972182e-06,34.2850407320297,46.87567694390384,47.115891276599875
1940-01-17,0.0,29.274382795538745,31.421412822003077,35.46151477158327
1940-01-18,0.0,59.65110654734412,108.55172594200974,119.7725892030106
1940-01-19,3.814697265625e-06,71.33203790468296,75.24108425370547,76.10617190860386
1940-01-20,0.0,13.340129009071704,13.49952366003712,16.577238534261085
1940-01-21,2.6973983046972182e-06,36.56337426607589,38.87815105756324,45.03911914907444
1940-01-22,0.0,26.943500189317966,30.424791281668902,30.718995367813317
1940-01-23,2.6973983046972182e-06,27.099567174374855,33.538069925899606,35.41845796434922
1940-01-24,1.3486991523486091e-06,39.61047580526285,42.7244995391252,42.8596745724816
1940-01-25,1.9073486328125e-06,27.045232369424824,27.681474271120393,30.318277794292978
1940-01-26,0.0,27.653848705133793,30.27469866968846,31.42219324227034
1940-01-27,0.0,27.975051274261112,29.53149621663302,37.22715324448723
1940-01-28,0.0,28.265372202071173,33.831587228569205,40.83531345715237
1940-01-29,0.0,40.489129535667104,40.55693773157058,42.796442819757566
1940-01-30,0.0,30.970723648480266,40.6535059609441,40.83948696394677
1940-01-31,0.0,36.30507287897025,47.178384932760515,47.62862305848411
1940-02-01,0.0,15.123757696891584,17.55111861312919,21.40185804583725
1940-02-02,0.0,22.078752714922853,23.19289172265471,24.745021089710672
1940-02-03,0.0,19.784095715307508,21.22555428643729,21.39069929220036
1940-02-04,2.6973983046972182e-06,16.378024679957672,16.68269527772655,20.00628846365489
1940-02-05,0.0,16.354443485927188,19.985115507901774,20.87058007906243
1940-02-06,5.3947966093944364e-06,23.160021342097835,25.60468936133507,26.20247937939417
1940-02-07,5.3947966093944364e-06,40.710526753467576,43.29593809112121,46.80173531991246
1940-02-08,5.3947966093944364e-06,31.106506056203642,38.3753203077884,38.39000305497328
1940-02-09,5.3947966093944364e-06,33.295235790749494,34.7570981199622,35.32647549050267
1940-02-10,0.0,26.504168373736928,27.505735850689735,28.863052318939754
1940-02-11,0.0,32.383719381280486,35.78699254463259,37.60217067532364
1940-02-12,0.0,18.855119444040653,23.762169817230912,24.21021228843346
1940-02-13,2.6973983046972182e-06,37.28722429437346,37.80225442177033,40.65313938845791
1940-02-14,0.0,26.770276908784258,27.819039518713197,29.202672234546
1940-02-15,0.0,27.02476064371309,27.613758459288594,28.675113278339847
1940-02-16,0.0,36.30247464073312,47.55086198354688,48.68878384416474
1940-02-17,0.0,46.45019782557192,58.240108678932536,71.00396045650977
1940-02-18,0.0,31.6605844771951,34.88532692956502,40.65552711361088
1940-02-19,0.0,21.905577409334448,22.500709514286374,22.541049932931664
1940-02-20,0.0,21.404466005703405,25.61502035815168,25.9011875977249
1940-02-21,4.264961199760036e-06,12.831876438770028,13.848424280613228,14.254494382232034
1940-02-22,1.9073486328125e-06,24.468609254190355,29.522668791953336,31.256580228500276
1940-02-23,0.0,37.940052531022886,42.66131899335514,44.04242596627872
1940-02-24,0.0,21.783544600981166,24.667733729082066,28.38842911343906
1940-02-25,1.3486991523486091e-06,27.74779562840582,28.56414891905326,30.524336557788118
1940-02-26,0.0,27.547402227881708,33.41972276641394,34.97623402121547
1940-02-27,3.814697265625e-06,35.86778689996821,36.11421409242388,37.13206983593614
1940-02-28,0.0,37.4979184377645,39.99495108460752,40.46613368655672
1940-02-29,1.3486991523486091e-06,19.689544006997945,24.81180741752029,26.179775411490738
1940-03-01,9.344061823971473e-06,71.85060560299488,75.71008914716235,90.27234660152715
1940-03-02,0.0,73.4409199071752,81.64941268223967,98.1074506451135
1940-03-03,1.3486991523486091e-06,20.96006418969736,23.939407175700794,24.074768005889673
1940-03-04,0.0,38.58575175802325,40.77514821079692,42.87665445984504
1940-03-05,2.132480599880018e-06,15.728649186263647,18.6352909450263,18.892138972854255
1940-03-06,0.0,77.40983617011528,77.49827132009526,85.32881607108916
1940-03-07,0.0,34.939774202529854,43.96688491346286,44.25213730458467
1940-03-08,1.9073486328125e-06,22.677009528957225,23.23928984940885,23.67599111197148
1940-03-09,2.6973983046972182e-06,26.05155439140701,29.358294947235006,36.30059289109116
1940-03-10,0.0,25.141694364392816,25.243561072854,25.92299631577439
1940-03-11,1.9073486328125e-06,48.323357377731966,61.909199545092115,69.12193215712776
1940-03-12,0.0,47.46276555588362,50.10891938028739,55.41864022419218
1940-03-13,0.0,40.498905715069135,51.06510514809415,52.43721996932492
