Date,Day1,Day2,Day3,Day4
1940-01-01,0.0,32.063416670095414,41.65435919256802,48.66434383455113
1940-01-02,7.62939453125e-06,23.482326779491796,29.748037852665938,32.67159699688125
1940-01-03,5.3947966093944364e-06,25.801614932978747,35.589561284116904,42.040784037130045
1940-01-04,0.0,16.649885506026493,37.20550555485069,45.72612456608539
1940-01-05,3.814697265625e-06,37.43609126136792,41.594632110806856,42.37575472791801
1940-01-06,0.0,24.806978098843448,33.15835100074736,39.84348398372204
1940-01-07,7.62939453125e-06,42.16895119087879,50.68540838451367,56.934181415892034
1940-01-08,0.0,9.938092082589936,21.522280194239894,26.394266571798557
1940-01-09,0.0,28.574880136764225,31.891098793619147,34.99656408796765
1940-01-10,0.0,27.28672109012588,29.422370904420404,34.504013536179876
1940-01-11,4.672030911985737e-06,22.499314713420567,28.5265063355991,38.166092691743614
1940-01-12,0.0,26.01393532025082,41.249253909253625,43.68670905900463
1940-01-13,0.0,44.19105254803166,48.05090521902566,49.09329786795973
1940-01-14,0.0,48.51351034692124,68.1733003124206,68.55071617798404
1940-01-15,7.62939453125e-06,27.792854151205514,33.289846278667824,46.9149189302166
1940-01-16,0.0,30.43718525065874,32.084234151083635,43.561500942996126
1940-01-17,0.0,24.77418138636071,50.021870631472005,50.30974164146645
1940-01-18,1.3214498959113138e-05,77.35178300359887,110.89205059951749,111.50388771684536
1940-01-19,0.0,72.8309067438369,84.70774548271953,85.67394580659563
1940-01-20,0.0,54.292415246362985,62.98585659694442,64.0249994947993
1940-01-21,0.0,42.727463897386826,52.28627414827743,52.623949713193596
1940-01-22,0.0,49.158299160697744,50.06639340363747,61.03686494741004
1940-01-23,0.0,21.642554219091277,38.76518121939151,54.9851682145852
1940-01-24,0.0,41.53891602346591,54.77125254982377,61.783788709208544
1940-01-25,0.0,64.07396757884725,84.44474884338163,86.6090377264568
1940-01-26,0.0,52.12001066621797,54.197348153322864,55.45016693543239
1940-01-27,0.0,25.040860178557214,31.46911872612416,33.022184100903424
1940-01-28,0.0,15.672938103883679,17.855561858911543,17.918778031713625
1940-01-29,3.814697265625e-06,31.357904026564245,33.17354397045427,33.59292817374994
1940-01-30,3.814697265625e-06,31.958697457121005,36.463816703287414,36.82163570514816
1940-01-31,0.0,24.580556091367818,29.665724900001386,30.165809581434576
1940-02-01,1.9073486328125e-06,16.226412322880304,16.85572492521739,17.068403283624335
1940-02-02,2.6973983046972182e-06,20.187448474933415,22.552622772399676,23.453901501450567
1940-02-03,0.0,15.20349674437497,17.955298276405337,19.669269497827216
1940-02-04,0.0,15.8103862842396,18.092842848219288,20.035600896959156
1940-02-05,3.3036247397782844e-06,19.626033772075743,20.653343821806708,21.438967642090113
1940-02-06,6.607249479556569e-06,14.120748494023708,15.71660233248088,18.088467636642484
1940-02-07,0.0,11.82645178753514,16.267439779487372,16.277454305051112
1940-02-08,4.264961199760036e-06,17.480674695382202,18.00619104098616,18.631984431812334
1940-02-09,0.0,20.120591112254086,21.500072521387544,24.910672888679
1940-02-10,0.0,10.293635807316578,10.901212561775118,16.03494857971353
1940-02-11,0.0,15.910720520537877,16.211656170326624,18.94047166984711
1940-02-12,2.6973983046972182e-06,17.480674695382202,19.010286306079482,19.208405827650186
1940-02-13,5.3947966093944364e-06,16.179501373190334,18.381533107572828,19.676993953125574
1940-02-14,3.814697265625e-06,13.344402412861617,18.000171620202902,19.32470407710652
1940-02-15,2.6973983046972182e-06,13.735316507396748,20.747718701060993,21.06678532556109
1940-02-16,1.9073486328125e-06,21.17188364025029,22.63634977945297,24.335747655358155
1940-02-17,3.814697265625e-06,20.483979814292134,20.737894533276787,21.47485936928418
1940-02-18,5.3947966093944364e-06,15.717471000323197,17.468340568149806,18.28587969341675
1940-02-19,0.0,9.489159689343698,13.337152748166892,15.89038680749197
1940-02-20,0.0,14.746185940494179,16.5419341820095,17.302824557763646
1940-02-21,0.0,13.498438934460728,14.786292228787262,15.995495212308903
1940-02-22,0.0,15.589859720098742,16.097276561528393,20.691277507046433
1940-02-23,0.0,13.03096387400029,16.15010116503128,18.291032121091497
1940-02-24,0.0,18.02794817350247,18.216207094721913,20.597617947575685
1940-02-25,3.814697265625e-06,18.609615219334902,19.782646722786925,22.661978552680576
1940-02-26,0.0,15.681978266662352,18.985314781036216,19.785062691300084
1940-02-27,0.0,18.073535186603802,24.768426608379585,25.38932485455925
1940-02-28,9.5367431640625e-07,10.656958540344977,14.739075620246805,17.074134325449933
1940-02-29,9.5367431640625e-07,21.83753515412549,22.15790886694013,22.83590750180317
1940-03-01,2.6973983046972182e-06,23.63276057747354,33.213685320649596,38.31855606791196
1940-03-02,0.0,37.3247163834629,39.62733742886571,50.68533365535387
1940-03-03,0.0,30.774601992081966,37.33838861885177,41.87888252419635
1940-03-04,2.6973983046972182e-06,28.412306273783503,40.62851946765319,41.191417068255646
1940-03-05,0.0,23.41852319088702,36.61861617600008,40.22329074021367
1940-03-06,0.0,37.735418446619974,39.39806000289977,45.80152964848218
1940-03-07,6.607249479556569e-06,42.58802066365693,47.210519835441175,51.66271025580459
1940-03-08,0.0,37.992661745811716,38.3150697515036,49.65457405230954
1940-03-09,2.6973983046972182e-06,46.07821033228237,47.19751917309705,47.25643633255796
1940-03-10,0.0,31.718978359828693,33.61586902697556,37.106943228694774
1940-03-11,2.6973983046972182e-06,24.426920501731118,27.802491469235413,38.442155524006864
1940-03-12,0.0,45.20632767413088,52.502259890216614,66.05034322947144
1940-03-13,7.62939453125e-06,56.17947712466398,67.00313511442347,72.03820261970712
