Date,Day1,Day2,Day3,Day4
1940-11-12,0.0,40.89402610435098,70.09205325453173,71.81216924346964
1941-01-18,1.3214498959113138e-05,59.55986069423591,64.49207731536403,67.20282473335952
1942-06-29,5.3947966093944364e-06,49.99768840193894,51.32954033594094,51.981849707933264
1942-12-11,0.0,97.12285960219873,125.60819845344831,126.37961228388615
1943-05-08,5.3947966093944364e-06,99.30074550847391,103.80369206516804,111.2039817724987
1943-06-02,1.3214498959113138e-05,134.54493057258202,156.92412284864417,172.3800155001146
1943-09-16,0.0,67.85010407966666,67.90671195023396,70.05923711956517
1944-08-07,0.0,65.06969867305592,77.11567560853484,79.640735811094
1945-01-26,0.0,74.07025306083096,79.59741991204221,82.11357670546658
1945-08-24,0.0,55.643393191509944,75.52723367698316,81.59628671951636
1946-01-21,0.0,133.34717907729814,137.98605949945576,138.16736440874797
1946-03-17,9.344061823971473e-06,171.90490690272765,188.2817506809644,192.8609682574736
1946-06-25,0.0,70.02081401638638,71.42923864219827,79.9263850670901
1946-08-24,0.0,58.66618119110591,79.8600000297173,80.65938223971231
1947-09-18,0.0,68.77504615683817,69.38801236122403,70.26262888162154
1947-11-09,1.4273290202232137e-05,212.66562734781124,212.84588376228547,219.86018316461463
1948-02-29,0.0,64.6232485282252,67.1991190417489,70.81191534062327
1948-05-06,7.62939453125e-06,172.407306719661,177.98209654304398,192.579134890583
1948-05-11,5.3947966093944364e-06,76.39736472013044,101.92924229175094,107.82106440942438
1949-02-08,0.0,86.07880522311086,86.44460504127623,87.32436745664405
1949-02-15,0.0,71.6662166627879,80.76650264044387,93.61315362368899
1949-06-30,0.0,68.50135867286065,70.31261114554056,71.16580163633866
1949-07-21,0.0,46.283225811474715,49.248427260330494,61.5020559614673
1949-09-09,0.0,92.6308951527343,95.76638851434417,97.60463563859138
1950-02-10,5.3947966093944364e-06,59.79676958647161,60.827751593844106,62.32156497247464
1950-04-10,1.3214498959113138e-05,77.0895112145207,119.3300814550204,125.51637927034574
1951-02-25,1.0789593218788873e-05,71.18845157886442,79.91068617531322,83.48112568844249
1952-01-13,0.0,68.64160400802878,102.32835827919082,122.62886235714795
1952-07-10,0.0,68.97019288582533,93.53331908459636,93.83659024104296
1954-02-23,0.0,93.32222935410249,98.84098963649569,108.42494664581562
1954-08-09,3.814697265625e-06,66.27032595344608,66.44059977351506,67.51860628139764
1954-08-17,0.0,78.66277541496294,81.80350276136653,84.41656010201314
1954-09-01,0.0,65.29818080030897,71.62842293813314,71.79731462430631
1955-02-01,0.0,98.7839467278428,105.06855882508782,111.56428198850526
1955-03-16,5.3947966093944364e-06,129.69873344055927,139.51596735519598,147.38559302826272
1955-04-21,0.0,110.03518302433343,120.42468136448608,122.8227881203879
1955-09-29,0.0,45.38347421381958,53.480274627639034,59.69431621341964
1956-09-03,5.3947966093944364e-06,76.62998597717346,87.59869920289789,100.98313228243224
1956-09-21,0.0,122.16073597956446,128.4581371957148,134.52249641893826
1958-08-02,5.3947966093944364e-06,63.18576074523058,72.65390045290351,73.24572961695867
1958-12-07,0.0,83.00257286795431,84.4968186745246,91.4841165839758
1959-05-26,0.0,66.03306958439907,106.02606830465368,121.99274744713499
1959-11-10,5.3947966093944364e-06,92.90294451686472,95.00898551208813,96.74592096649816
1959-11-30,5.3947966093944364e-06,70.52707509958681,81.6814630112343,83.08912313331713
1961-01-23,0.0,100.2618683807122,102.07312397781735,103.2716897062433
1961-06-12,0.0,103.87485099210313,106.45511037049172,109.9818499038569
1962-06-21,7.62939453125e-06,61.793422007802924,65.55989880753614,65.57952837385238
1962-10-25,0.0,90.22006825907509,96.39200084658306,96.57181139299924
1962-12-26,7.62939453125e-06,120.2087199382317,128.79762429318285,132.34651921103375
1963-02-14,1.0789593218788873e-05,52.134110120156365,70.85025027206419,72.35070663407767
1963-07-20,5.3947966093944364e-06,70.98960449302218,73.72651944528202,74.41931212221641
1964-08-10,0.0,42.11327744200867,48.973882562472134,68.67679121359333
1964-12-24,0.0,119.54082905600534,120.74641823438547,141.69648656634598
1965-10-17,0.0,131.80410968430778,146.26488021334472,148.9846944662006
1968-09-13,0.0,85.87999717222608,86.37095773517646,88.50517385223651
1969-01-02,1.0789593218788873e-05,112.52303494265212,113.86968431923005,123.7442814908293
1969-02-07,9.344061823971473e-06,111.66615141257998,119.83838131060193,124.43901150918997
1969-07-23,9.344061823971473e-06,56.6628257471574,67.87853069604341,74.0475884430634
1969-12-29,1.0789593218788873e-05,144.24123588595978,147.37404717828994,165.44891282648163
1970-05-24,0.0,62.37541227091387,67.65652638125891,89.85660147817744
1971-07-16,1.0789593218788873e-05,58.11254759388309,60.89867411031982,61.27656760687457
1971-09-22,0.0,63.0986385616353,75.93225063765225,79.76313311326261
1974-04-04,7.62939453125e-06,80.01405780965531,97.52926266468958,99.84360984518662
1974-07-19,5.3947966093944364e-06,56.760515882146514,58.0646335778366,62.58388362157269
1974-09-23,7.62939453125e-06,51.194369829177234,52.43008973808363,54.88664572240671
1975-03-12,0.0,93.58527158522854,104.31734127261676,117.76410356228905
1975-06-28,0.0,81.08349704965511,83.05189345567216,88.42202881140071
1976-02-11,3.814697265625e-06,61.61583129273189,61.770820094502064,68.51420178262043
1976-08-12,1.3214498959113138e-05,79.91536782717635,93.80412467874206,103.64572795194161
1976-12-30,0.0,125.82920622562513,143.36937255341806,147.91687774706384
1977-01-17,7.62939453125e-06,96.57973568429196,99.24479881480912,103.66132194329073
1977-09-20,0.0,60.10164762470303,64.80701906036553,66.29515786564306
