Date,0,1,2,3
1940-06-27,178,18592,15670,20418
1940-06-28,179,20419,18958,17132
1940-06-29,180,25168,8215,1709
1940-06-30,181,25169,16768,22247
1940-07-01,182,18627,1643,4930
1940-07-02,183,17136,17167,28824
1940-07-03,184,13881,26998,22250
1940-07-04,185,5694,12421,3411
1940-07-05,186,18265,16439,2377
1940-07-06,187,16440,14948,18266
1940-07-07,188,21189,15314,16441
1940-07-08,189,8620,14251,7525
1940-07-09,190,18604,19000,25574
1940-07-10,191,18636,19001,18605
1940-07-11,192,10571,28833,28498
1940-07-12,193,224,20464,15350
1940-07-13,194,25578,2020,18639
1940-07-14,195,18640,14257,22261
1940-07-15,196,14227,28471,9723
1940-07-16,197,8232,22294,21929
1940-07-17,198,17182,12038,21930
1940-07-18,199,15325,17183,18978
1940-07-19,200,25188,17153,12040
1940-07-20,201,4949,25189,12041
1940-07-21,202,10612,17186,20442
1940-07-22,203,10613,10582,20443
1940-07-23,204,15361,10583,17188
1940-07-24,205,15331,17189,15362
1940-07-25,206,15332,21907,23764
1940-07-26,207,20447,27021,15333
1940-07-27,208,20448,27022,21909
1940-07-28,209,20449,27023,15335
1940-07-29,210,20450,15336,21911
1940-07-30,211,15368,9707,21912
1940-07-31,212,9708,18991,15369
1940-08-01,213,20422,18992,15308
1940-08-02,214,15309,4931,12023
1940-08-03,215,10563,15310,20424
1940-08-04,216,10564,25204,4933
1940-08-05,217,25205,13852,27031
1940-08-06,218,18966,27001,10566
1940-08-07,219,15345,9684,10567
1940-08-08,220,9685,28464,23747
1940-08-09,221,23717,12426,27004
1940-08-10,222,23718,25210,1652
1940-08-11,223,23719,6766,18606
1940-08-12,224,25181,25577,17146
1940-08-13,225,20465,12430,1655
1940-08-14,226,15352,13892,1656
1940-08-15,227,25184,17149,9723
1940-08-16,228,17150,25185,15323
1940-08-17,229,17151,15324,25183
1940-08-18,230,4947,199,15325
1940-08-19,231,6440,7901,21840
1940-08-20,232,26316,8906,22937
1940-08-21,233,7903,3063,13169
1940-08-22,234,3521,24857,29574
1940-08-23,235,28876,29575,24858
1940-08-24,236,23732,7510,26685
1940-08-25,237,13903,13872,14237
1940-08-26,238,1699,18621,4955
1940-08-27,239,15365,15334,12413
1940-08-28,240,28881,4957,12414
1940-08-29,241,12354,28882,8276
1940-08-30,242,25230,8277,18625
1940-08-31,243,18626,12083,3134
1940-09-01,244,25232,15370,6453
1940-09-02,245,12085,25233,6454
1940-09-03,246,1707,20486,8281
1940-09-04,247,1708,8282,18661
1940-09-05,248,18959,17134,27062
1940-09-06,249,27063,18936,10993
1940-09-07,250,27064,10994,28525
1940-09-08,251,28526,24417,9655
1940-09-09,252,23687,6734,3082
1940-09-10,253,23688,29989,3083
1940-09-11,254,6117,5367,25626
1940-09-12,255,271,6114,4632
1940-09-13,256,1350,7562,1351
1940-09-14,257,21585,12385,28806
1940-09-15,258,259,12386,22241
1940-09-16,259,24425,258,12372
1940-09-17,260,5281,12373,3090
1940-09-18,261,21870,899,12374
1940-09-19,262,7475,21871,24428
1940-09-20,263,7476,10032,21872
1940-09-21,264,29543,2820,23334
1940-09-22,265,7204,17491,7935
1940-09-23,266,3188,12744,23640
1940-09-24,267,905,11650,25528
1940-09-25,268,28086,6020,29639
1940-09-26,269,21817,21596,18687
1940-09-27,270,25602,25603,21597
1940-09-28,271,282,27101,255
1940-09-29,272,5014,2425,4630
1940-09-30,273,4631,5014,272
1940-10-01,274,28762,271,4631
1940-10-02,275,28124,15644,272
1940-10-03,276,20516,28094,18263
1940-10-04,277,29587,3138,25538
1940-10-05,278,29557,23014,582
1940-10-06,279,20427,15313,18997
1940-10-07,280,24385,28555,27825
1940-10-08,281,19927,25602,270
1940-10-09,282,271,5380,15643
1940-10-10,283,2448,15034,17072
1940-10-11,284,22928,24542,22350
1940-10-12,285,3419,7590,17085
1940-10-13,286,651,13434,2842
1940-10-14,287,652,18274,6708
1940-10-15,288,27833,15261,26007
1940-10-16,289,24679,14815,15026
1940-10-17,290,8074,26853,8070
1940-10-18,291,25276,15027,290
1940-10-19,292,25276,15030,1764
1940-10-20,293,13959,15643,10086
1940-10-21,294,2850,22207,13960
1940-10-22,295,2851,6078,5986
1940-10-23,296,3795,13079,5987
1940-10-24,297,28054,6871,21114
1940-10-25,298,19289,21115,5989
1940-10-26,299,5990,511,29152
1940-10-27,300,26596,29153,10891
1940-10-28,301,18349,14909,5261
1940-10-29,302,20693,88,18867
1940-10-30,303,21639,8916,10011
1940-10-31,304,13605,12509,3226
1940-11-01,305,3957,3227,6665
1940-11-02,306,3228,24564,9437
1940-11-03,307,823,24565,16894
1940-11-04,308,23621,24505,24778
1940-11-05,309,4843,9287,27854
1940-11-06,310,4113,22162,22481
1940-11-07,311,22162,17363,8441
1940-11-08,312,397,18447,17741
1940-11-09,313,2970,3339,15908
1940-11-10,314,27128,19823,24206
1940-11-11,315,26764,23993,23263
1940-11-12,316,2872,14712,13617
1940-11-13,317,26847,22107,28697
1940-11-14,318,10778,26143,4801
1940-11-15,319,10384,7354,40
1940-11-16,320,14351,37,27593
1940-11-17,321,21291,14717,28596
1940-11-18,322,26557,12892,14353
1940-11-19,323,3396,1935,22906
1940-11-20,324,30029,27290,25677
1940-11-21,325,26774,27291,15086
1940-11-22,326,4282,15452,28175
1940-11-23,327,11375,14509,15088
1940-11-24,328,29699,4345,4711
1940-11-25,329,27509,2671,29700
1940-11-26,330,2672,2886,21666
1940-11-27,331,14727,26780,2522
1940-11-28,332,2523,4349,10346
1940-11-29,333,21387,15165,15897
1940-11-30,334,15095,14151,28244
1940-12-01,335,22918,29372,19204
1940-12-02,336,6211,20211,6635
1940-12-03,337,23224,6636,6212
1940-12-04,338,3350,29434,13790
1940-12-05,339,11083,13671,8009
1940-12-06,340,13062,19484,12635
1940-12-07,341,13063,13732,28282
1940-12-08,342,6916,22773,9563
1940-12-09,343,10812,6277,9564
1940-12-10,344,27249,23172,3631
1940-12-11,345,29716,28345,5458
1940-12-12,346,29717,3664,29138
1940-12-13,347,20618,4030,23905
1940-12-14,348,5826,13315,744
1940-12-15,349,13285,18794,5918
1940-12-16,350,12555,28991,17303
1940-12-17,351,1446,27196,15477
1940-12-18,352,15875,20957,11827
1940-12-19,353,28263,27898,10398
1940-12-20,354,10733,16941,4402
1940-12-21,355,25799,26804,16942
1940-12-22,356,8391,16943,18801
1940-12-23,357,10826,23519,10767
1940-12-24,358,10768,28938,15209
1940-12-25,359,6964,15210,390
1940-12-26,360,13235,450,21727
1940-12-27,361,8062,19079,451
1940-12-28,362,15213,16980,3009
1940-12-29,363,759,6603,8064
1940-12-30,364,15156,18412,25656
1940-12-31,365,20240,20179,16983
1941-01-01,366,20241,3773,9617
1941-01-02,367,27302,27547,2983
1941-01-03,368,2984,702,10441
1941-01-04,369,2529,13305,25722
1941-01-05,370,10443,429,22071
1941-01-06,371,14461,4448,8406
1941-01-07,372,27917,6946,23442
1941-01-08,373,26791,4450,15499
1941-01-09,374,15135,14739,10722
1941-01-10,375,27920,14465,23902
1941-01-11,376,21620,5895,6261
1941-01-12,377,28256,28317,13647
1941-01-13,378,19216,1898,12917
1941-01-14,379,3360,24971,10727
1941-01-15,380,1079,10728,14470
1941-01-16,381,29295,9846,27834
1941-01-17,382,14017,26070,23544
1941-01-18,383,29723,27166,29813
1941-01-19,384,1814,5466,22450
1941-01-20,385,1815,24977,1540
1941-01-21,386,11130,11403,9941
1941-01-22,387,8787,25740,9883
1941-01-23,388,18802,9884,3279
1941-01-24,389,17707,2184,2123
1941-01-25,390,359,15210,4315
1941-01-26,391,28666,9946,5473
1941-01-27,392,8062,21787,23189
1941-01-28,393,15885,18410,26446
1941-01-29,394,1824,14849,28943
1941-01-30,395,21059,13665,21790
1941-01-31,396,3652,1491,13666
1941-02-01,397,10799,17715,23583
1941-02-02,398,16645,5893,17001
1941-02-03,399,36,21003,423
1941-02-04,400,7342,20643,29776
1941-02-05,401,5892,26040,21373
1941-02-06,402,3326,18454,1859
1941-02-07,403,14428,9528,39
1941-02-08,404,15160,26142,7349
1941-02-09,405,13348,1133,17359
1941-02-10,406,2604,18818,20287
1941-02-11,407,12522,21751,23929
1941-02-12,408,19915,29787,2466
1941-02-13,409,16997,8084,24681
1941-02-14,410,18833,17007,13720
1941-02-15,411,9533,15171,24660
1941-02-16,412,12978,18830,13979
1941-02-17,413,29424,23209,6611
1941-02-18,414,19203,20650,23582
1941-02-19,415,10799,16255,397
1941-02-20,416,18448,25753,3345
1941-02-21,417,10426,13713,1151
1941-02-22,418,12971,25765,17734
1941-02-23,419,2963,11893,13704
1941-02-24,420,14068,20284,9167
1941-02-25,421,14068,9167,13334
1941-02-26,422,9168,1511,6625
1941-02-27,423,9539,21003,13702
1941-02-28,424,28686,5887,2243
1941-03-01,425,3703,11896,23585
1941-03-02,426,25994,8522,21092
1941-03-03,427,26056,15554,19846
1941-03-04,428,6272,26057,14459
1941-03-05,429,10443,370,3626
1941-03-06,430,29012,14006,20670
1941-03-07,431,23899,10355,23868
1941-03-08,432,23900,21709,20613
1941-03-09,433,17692,28984,15560
1941-03-10,434,24267,15136,4727
1941-03-11,435,4728,19945,15137
1941-03-12,436,16964,22412,2627
1941-03-13,437,2934,16965,2628
1941-03-14,438,16966,18793,27893
1941-03-15,439,8474,29810,14015
1941-03-16,440,22416,9206,13225
1941-03-17,441,29812,19161,23544
1941-03-18,442,6651,16260,13684
1941-03-19,443,20282,783,18082
1941-03-20,444,30059,20260,24671
1941-03-21,445,720,30060,15937
1941-03-22,446,2637,30061,28722
1941-03-23,447,5409,11405,8543
1941-03-24,448,6506,1484,19168
1941-03-25,449,3585,13234,29365
1941-03-26,450,14057,19535,21727
1941-03-27,451,7331,11867,5839
1941-03-28,452,7332,3009,2918
1941-03-29,453,759,25655,21736
1941-03-30,454,24561,17986,15156
1941-03-31,455,12721,15216,1185
1941-04-01,456,9071,21792,8857
1941-04-02,457,4840,2132,22158
1941-04-03,458,19237,16315,2133
1941-04-04,459,27639,23256,9804
1941-04-05,460,3596,13610,12665
1941-04-06,461,20762,1191,27855
1941-04-07,462,20702,21433,22528
1941-04-08,463,3964,1924,19242
1941-04-09,464,26032,3600,8134
1941-04-10,465,22166,26033,13980
1941-04-11,466,9962,6889,28742
1941-04-12,467,26916,19399,20860
1941-04-13,468,4273,7926,13983
1941-04-14,469,11944,21135,17483
1941-04-15,470,13406,3971,24942
1941-04-16,471,8720,27286,1050
1941-04-17,472,27866,16543,1051
1941-04-18,473,12162,18156,26922
1941-04-19,474,16180,21293,8509
1941-04-20,475,5072,11068,21294
1941-04-21,476,5073,14872,20930
1941-04-22,477,21662,2517,28236
1941-04-23,478,29698,25680,2518
1941-04-24,479,18083,24309,15172
1941-04-25,480,15821,26760,7634
1941-04-26,481,10709,20356,9247
1941-04-27,482,20357,11014,8001
1941-04-28,483,9037,11015,5080
1941-04-29,484,11016,14880,6978
1941-04-30,485,11078,27818,14151
1941-05-01,486,14152,9040,17957
1941-05-02,487,1370,16344,2101
1941-05-03,488,1371,8372,13789
1941-05-04,489,24747,2315,9408
1941-05-05,490,23591,7217,25997
1941-05-06,491,5239,17444,25479
1941-05-07,492,17445,28921,15984
1941-05-08,493,14524,9624,15985
1941-05-09,494,4573,15986,21830
1941-05-10,495,13431,3417,9626
1941-05-11,496,17449,13432,2687
1941-05-12,497,23082,4149,28407
1941-05-13,498,20373,20161,18912
1941-05-14,499,8687,24179,18182
1941-05-15,500,14319,27680,2844
1941-05-16,501,8689,5249,20164
1941-05-17,502,6864,6134,19281
1941-05-18,503,8691,10670,19282
1941-05-19,504,14900,8539,6866
1941-05-20,505,10001,28050,8540
1941-05-21,506,29877,8541,24917
1941-05-22,507,660,14903,22361
1941-05-23,508,14904,2487,7082
1941-05-24,509,13598,874,8697
1941-05-25,510,17616,875,4162
1941-05-26,511,299,24038,23004
1941-05-27,512,14178,23309,23005
1941-05-28,513,12718,27785,29884
1941-05-29,514,29885,23311,4836
1941-05-30,515,23312,29886,9281
1941-05-31,516,29887,8551,10895
1941-06-01,517,13453,21488,17470
1941-06-02,518,21215,29889,19662
1941-06-03,519,24046,2710,9285
1941-06-04,520,24047,22678,29891
1941-06-05,521,24871,6092,29892
1941-06-06,522,12819,18205,2440
1941-06-07,523,1619,29164,21128
1941-06-08,524,13552,20126,13187
1941-06-09,525,13553,29166,17570
1941-06-10,526,21801,16383,28436
1941-06-11,527,24785,4179,16384
1941-06-12,528,14498,11364,23629
1941-06-13,529,14499,23630,29262
1941-06-14,530,20862,27437,11640
1941-06-15,531,29994,26250,22324
1941-06-16,532,22325,24059,11642
1941-06-17,533,22599,18518,16117
1941-06-18,534,19678,26716,15965
1941-06-19,535,9301,19679,5648
1941-06-20,536,628,7202,5741
1941-06-21,537,24064,16394,17947
1941-06-22,538,2364,23062,9304
1941-06-23,539,24066,27811,10311
1941-06-24,540,24067,10646,9306
1941-06-25,541,16398,27721,17494
1941-06-26,542,16399,7482,14573
1941-06-27,543,2369,16400,5291
1941-06-28,544,16401,4562,5292
1941-06-29,545,7119,22246,16767
1941-06-30,546,22247,16768,7120
1941-07-01,547,21518,24105,24836
1941-07-02,548,16405,3105,21519
1941-07-03,549,2010,24076,5693
1941-07-04,550,11691,2376,5663
1941-07-05,551,24444,11692,28096
1941-07-06,552,24445,28097,27732
1941-07-07,553,20367,16410,24446
1941-07-08,554,10234,7494,14950
1941-07-09,555,13491,21557,22621
1941-07-10,556,2017,15714,22257
1941-07-11,557,5701,2018,1287
1941-07-12,558,18272,10238,13129
1941-07-13,559,18273,11700,14621
1941-07-14,560,20831,7500,24087
1941-07-15,561,19340,19736,4579
1941-07-16,562,27773,4580,23359
1941-07-17,563,14260,23360,10243
1941-07-18,564,23392,12404,26679
1941-07-19,565,26680,13532,18614
1941-07-20,566,962,12771,18615
1941-07-21,567,7172,17551,4585
1941-07-22,568,24126,17552,7173
1941-07-23,569,12774,7143,600
1941-07-24,570,12441,26289,5349
1941-07-25,571,26290,10950,24464
1941-07-26,572,25134,16460,20843
1941-07-27,573,27388,16795,2065
1941-07-28,574,24832,24132,20084
1941-07-29,575,8610,7180,17559
1941-07-30,576,8611,26295,13147
1941-07-31,577,13148,22309,12782
1941-08-01,578,27362,20057,4596
1941-08-02,579,28093,8980,26298
1941-08-03,580,18263,16072,8981
1941-08-04,581,16073,4599,7886
1941-08-05,582,26666,23014,25936
1941-08-06,583,7857,26636,10263
1941-08-07,584,14949,15406,16410
1941-08-08,585,14585,10234,7494
1941-08-09,586,21160,14586,21557
1941-08-10,587,11758,29228,22622
1941-08-11,588,7497,21528,922
1941-08-12,589,7498,12398,17511
1941-08-13,590,20830,26309,10055
1941-08-14,591,14591,7896,20101
1941-08-15,592,14258,17514,12797
1941-08-16,593,28138,15720,14259
1941-08-17,594,15721,13499,14959
1941-08-18,595,5312,15722,8599
1941-08-19,596,5344,7870,27380
1941-08-20,597,24824,8998,19710
1941-08-21,598,19711,12803,18250
1941-08-22,599,5347,24126,568
1941-08-23,600,7143,569,12440
1941-08-24,601,24128,13810,17554
1941-08-25,602,26655,23368,16824
1941-08-26,603,23673,26687,26656
1941-08-27,604,17557,15700,13540
1941-08-28,605,7179,9736,13541
1941-08-29,606,7149,26294,7546
1941-08-30,607,13451,17560,7881
1941-08-31,608,17561,15735,12782
1941-09-01,609,15736,17562,13545
1941-09-02,610,13546,10624,8645
1941-09-03,611,8646,26695,26603
1941-09-04,612,26604,26969,6456
1941-09-05,613,17566,26605,6457
1941-09-06,614,4266,6458,22315
1941-09-07,615,4267,26334,19759
1941-09-08,616,26335,8651,10538
1941-09-09,617,13765,26609,21953
1941-09-10,618,13189,18514,9961
1941-09-11,619,14497,3906,28437
1941-09-12,620,14651,29626,3177
1941-09-13,621,14652,4639,10635
1941-09-14,622,2356,13466,22323
1941-09-15,623,13467,20041,4641
1941-09-16,624,26343,21960,16389
1941-09-17,625,5738,13196,28901
