Date,0,1,2,3
1940-06-28,179,2675,3412,26608
1940-06-29,180,27315,27319,27318
1940-06-30,181,6314,26891,3757
1940-07-01,182,2312,21822,22979
1940-07-02,183,6377,21807,6750
1940-07-03,184,14190,18523,9952
1940-07-04,185,29881,16767,461
1940-07-05,186,6794,10576,21526
1940-07-06,187,12058,1952,9349
1940-07-07,188,12789,7127,9350
1940-07-08,189,12790,10599,19698
1940-07-09,190,24797,15695,24798
1940-07-10,191,7111,16802,21526
1940-07-11,192,20828,18971,18606
1940-07-12,193,4150,27664,3067
1940-07-13,194,4942,28135,15198
1940-07-14,195,12704,8595,28136
1940-07-15,196,22233,19351,26590
1940-07-16,197,5614,12645,12341
1940-07-17,198,28412,1232,2785
1940-07-18,199,8929,25152,23700
1940-07-19,200,8966,18614,7536
1940-07-20,201,8967,16058,9271
1940-07-21,202,21546,25875,21557
1940-07-22,203,22606,4179,14576
1940-07-23,204,17510,4908,1671
1940-07-24,205,29959,4190,2406
1940-07-25,206,27020,4589,11681
1940-07-26,207,2407,8937,2737
1940-07-27,208,16814,18999,19352
1940-07-28,209,4196,25532,2406
1940-07-29,210,4258,4593,10589
1940-07-30,211,7890,27025,13419
1940-07-31,212,12349,12796,12362
1940-08-01,213,7526,12412,4535
1940-08-02,214,2376,22668,15338
1940-08-03,215,6799,21452,14935
1940-08-04,216,946,7855,14946
1940-08-05,217,5356,23757,15728
1940-08-06,218,7492,18997,25175
1940-08-07,219,167,16714,22678
1940-08-08,220,13429,22498,18907
1940-08-09,221,22926,18908,12810
1940-08-10,222,25941,28520,19368
1940-08-11,223,8985,25536,29250
1940-08-12,224,14620,25181,4576
1940-08-13,225,590,17908,16082
1940-08-14,226,8626,1229,23753
1940-08-15,227,2691,20314,11549
1940-08-16,228,7502,805,16031
1940-08-17,229,18612,21955,16794
1940-08-18,230,12323,8994,13881
1940-08-19,231,25127,1614,21507
1940-08-20,232,13159,5723,10589
1940-08-21,233,25833,17062,20718
1940-08-22,234,12074,4121,20706
1940-08-23,235,25472,4998,17202
1940-08-24,236,25859,7403,8962
1940-08-25,237,1707,9376,1342
1940-08-26,238,25595,9745,12428
1940-08-27,239,11579,12048,13202
1940-08-28,240,24771,5565,3009
1940-08-29,241,23777,28027,13184
1940-08-30,242,29858,11600,20348
1940-08-31,243,3413,28515,24143
1940-09-01,244,17930,15002,25581
1940-09-02,245,11730,8647,8987
1940-09-03,246,7921,17929,6466
1940-09-04,247,21217,8648,248
1940-09-05,248,8648,6466,8281
1940-09-06,249,245,11730,17930
1940-09-07,250,7552,8293,29627
1940-09-08,251,10113,7566,8292
1940-09-09,252,12304,1717,27795
1940-09-10,253,20513,22690,19385
1940-09-11,254,1715,20134,9752
1940-09-12,255,22888,14127,17409
1940-09-13,256,17204,21970,22336
1940-09-14,257,21973,3199,2074
1940-09-15,258,25968,20499,16102
1940-09-16,259,5364,24873,26688
1940-09-17,260,16328,17931,27663
1940-09-18,261,12084,26716,15370
1940-09-19,262,14667,14295,4639
1940-09-20,263,8298,21233,20854
1940-09-21,264,9395,8307,627
1940-09-22,265,10340,22543,10126
1940-09-23,266,1129,6829,20658
1940-09-24,267,3558,12475,2828
1940-09-25,268,12832,14669,9758
1940-09-26,269,19413,10132,19049
1940-09-27,270,25982,7198,19414
1940-09-28,271,19792,4653,23425
1940-09-29,272,7581,22351,15052
1940-09-30,273,4656,3560,11382
1940-10-01,274,29645,11392,17601
1940-10-02,275,28550,27089,22706
1940-10-03,276,3911,5737,8828
1940-10-04,277,26343,15398,15397
1940-10-05,278,5756,11022,7217
1940-10-06,279,15040,17597,8314
1940-10-07,280,24678,16126,5775
1940-10-08,281,26365,1011,6125
1940-10-09,282,16478,12487,29276
1940-10-10,283,17990,7339,6492
1940-10-11,284,14680,14466,2508
1940-10-12,285,28195,12490,26430
1940-10-13,286,20206,9442,20908
1940-10-14,287,20937,5104,438
1940-10-15,288,12493,9784,20620
1940-10-16,289,22725,26380,20532
1940-10-17,290,13956,10151,17243
1940-10-18,291,26747,22727,23828
1940-10-19,292,670,1394,17983
1940-10-20,293,11046,9047,26011
1940-10-21,294,2850,23456,29657
1940-10-22,295,3947,15421,4678
1940-10-23,296,28229,19455,22013
1940-10-24,297,7265,18724,14707
1940-10-25,298,19807,20903,26017
1940-10-26,299,22740,16905,23113
1940-10-27,300,13633,29367,7975
1940-10-28,301,4014,10223,21698
1940-10-29,302,26751,3589,21638
1940-10-30,303,6573,29723,2
1940-10-31,304,9861,28275,29402
1940-11-01,305,3245,28594,681
1940-11-02,306,9056,7250,15423
1940-11-03,307,13947,24210,297
1940-11-04,308,14708,27122,20191
1940-11-05,309,13984,5431,16926
1940-11-06,310,397,28608,415
1940-11-07,311,16577,18408,28201
1940-11-08,312,16578,18401,18439
1940-11-09,313,2504,29319,20918
1940-11-10,314,23111,21284,13250
1940-11-11,315,20190,2851,5424
1940-11-12,316,7249,8716,7251
1940-11-13,317,12880,28961,8348
1940-11-14,318,23105,305,15069
1940-11-15,319,28211,675,320
1940-11-16,320,319,28211,384
1940-11-17,321,15070,22763,18720
1940-11-18,322,4339,27496,15815
1940-11-19,323,28967,16917,16938
1940-11-20,324,19462,14355,18368
1940-11-21,325,3247,20200,24948
1940-11-22,326,28601,28175,26775
1940-11-23,327,23890,345,28214
1940-11-24,328,32,347,348
1940-11-25,329,16551,4712,6903
1940-11-26,330,29688,1412,5811
1940-11-27,331,18387,18090,16544
1940-11-28,332,9806,7637,14771
1940-11-29,333,19840,4688,2517
1940-11-30,334,20939,12904,16921
1940-12-01,335,26784,22036,2161
1940-12-02,336,4353,9498,11476
1940-12-03,337,2924,18020,14399
1940-12-04,338,10190,5054,14349
1940-12-05,339,10657,28614,22040
1940-12-06,340,736,27551,16909
1940-12-07,341,6550,27186,2563
1940-12-08,342,15862,26780,21687
1940-12-09,343,28640,10736,27515
1940-12-10,344,8731,1040,732
1940-12-11,345,23890,419,347
1940-12-12,346,23890,345,15787
1940-12-13,347,328,32,348
1940-12-14,348,28207,28201,16577
1940-12-15,349,30054,11093,19432
1940-12-16,350,15111,23128,29387
1940-12-17,351,9448,9127,3618
1940-12-18,352,28221,2160,20185
1940-12-19,353,19163,13289,28263
1940-12-20,354,6229,29756,20260
1940-12-21,355,19073,11830,19438
1940-12-22,356,27932,29758,28631
1940-12-23,357,2548,27202,14411
1940-12-24,358,27192,29748,1836
1940-12-25,359,26821,8729,20912
1940-12-26,360,26809,17252,27540
1940-12-27,361,8792,8700,8062
1940-12-28,362,13298,29375,708
1940-12-29,363,14810,12627,15447
1940-12-30,364,23161,7242,2920
1940-12-31,365,29402,17683,4779
1941-01-01,366,18414,7274,27546
1941-01-02,367,20575,9463,16956
1941-01-03,368,17655,19877,22768
1941-01-04,369,7634,7285,14753
1941-01-05,370,22040,5483,20944
1941-01-06,371,19549,2188,3290
1941-01-07,372,14684,749,18734
1941-01-08,373,29747,25750,2227
1941-01-09,374,16258,7346,9175
1941-01-10,375,24212,5450,10186
1941-01-11,376,23507,22867,22807
1941-01-12,377,21367,19166,15841
1941-01-13,378,27527,26431,29718
1941-01-14,379,28989,8414,6131
1941-01-15,380,23177,6242,4798
1941-01-16,381,9163,15879,8083
1941-01-17,382,4765,22052,13318
1941-01-18,383,40,15875,19544
1941-01-19,384,320,15875,405
1941-01-20,385,20211,3293,28319
1941-01-21,386,12499,15420,3642
1941-01-22,387,14326,1086,27840
1941-01-23,388,15118,12562,722
1941-01-24,389,3676,18345,13325
1941-01-25,390,28269,27173,28665
1941-01-26,391,8791,29032,5838
1941-01-27,392,12599,20938,3682
1941-01-28,393,2176,9806,5103
1941-01-29,394,11411,728,17194
1941-01-30,395,22096,22741,17268
1941-01-31,396,26814,415,22837
1941-02-01,397,415,310,28325
1941-02-02,398,16619,4798,27948
1941-02-03,399,16998,26852,29407
1941-02-04,400,28319,23945,24289
1941-02-05,401,13932,16541,20212
1941-02-06,402,19563,19918,2235
1941-02-07,403,25410,15897,23546
1941-02-08,404,8803,21028,16994
1941-02-09,405,26855,15900,18473
1941-02-10,406,29417,1863,15032
1941-02-11,407,1880,17726,7704
1941-02-12,408,13725,24672,21379
1941-02-13,409,26143,13348,1132
1941-02-14,410,19200,15176,20656
1941-02-15,411,767,7354,2247
1941-02-16,412,22464,8807,14073
1941-02-17,413,21726,6844,26124
1941-02-18,414,764,21754,47
1941-02-19,415,22838,397,20283
1941-02-20,416,17355,26827,25027
1941-02-21,417,12971,25754,420
1941-02-22,418,21726,413,23923
1941-02-23,419,20283,21760,415
1941-02-24,420,12971,16266,25754
1941-02-25,421,20641,10795,21754
1941-02-26,422,7338,26848,9168
1941-02-27,423,24310,12285,787
1941-02-28,424,11172,7013,29068
1941-03-01,425,9921,26723,19053
1941-03-02,426,13576,24319,24625
1941-03-03,427,8523,21459,4140
1941-03-04,428,8524,18903,12056
1941-03-05,429,7339,418,24903
1941-03-06,430,9137,21401,1466
1941-03-07,431,26150,5910,2836
1941-03-08,432,797,18486,2631
1941-03-09,433,16305,26896,20320
1941-03-10,434,22517,9927,26159
1941-03-11,435,18118,23801,12819
1941-03-12,436,6951,2933,23174
1941-03-13,437,18519,25778,14643
1941-03-14,438,27406,23962,28562
1941-03-15,439,13010,26829,28563
1941-03-16,440,29295,17607,75
1941-03-17,441,6832,713,10118
1941-03-18,442,27410,16148,18552
1941-03-19,443,11918,9423,5556
1941-03-20,444,25432,18858,5832
1941-03-21,445,1509,764,26872
1941-03-22,446,422,7338,26848
1941-03-23,447,661,6962,24340
1941-03-24,448,29992,24880,2449
1941-03-25,449,17198,2854,6995
1941-03-26,450,4833,16466,22882
1941-03-27,451,5717,5260,21209
1941-03-28,452,19384,19601,7910
1941-03-29,453,6815,3740,24711
1941-03-30,454,27787,13390,14911
1941-03-31,455,22948,9586,28061
1941-04-01,456,6472,12832,21792
1941-04-02,457,20697,1706,26906
1941-04-03,458,17925,17926,10855
1941-04-04,459,7778,24361,24363
1941-04-05,460,27275,28747,17070
1941-04-06,461,185,4502,29881
1941-04-07,462,22520,24720,1566
1941-04-08,463,19612,28386,29856
1941-04-09,464,15013,21222,3904
1941-04-10,465,21792,2636,12334
1941-04-11,466,14852,5211,16466
1941-04-12,467,25821,20331,16374
1941-04-13,468,24514,2659,20132
1941-04-14,469,6313,16466,20114
1941-04-15,470,16467,14509,7746
1941-04-16,471,25825,106,26920
1941-04-17,472,8934,16329,26617
1941-04-18,473,24519,25461,23696
1941-04-19,474,21445,18996,11574
1941-04-20,475,28435,25104,21088
1941-04-21,476,23962,28174,19568
1941-04-22,477,415,668,15787
1941-04-23,478,482,15764,26827
1941-04-24,479,3396,6677,3340
1941-04-25,480,15019,13180,4979
1941-04-26,481,27814,6677,2637
1941-04-27,482,28676,3344,28704
1941-04-28,483,12464,15542,26891
1941-04-29,484,531,11723,16375
1941-04-30,485,13819,3808,184
1941-05-01,486,6340,10619,3711
1941-05-02,487,26932,24884,2450
1941-05-03,488,914,29920,16649
1941-05-04,489,23644,29488,11932
1941-05-05,490,16347,29496,21826
1941-05-06,491,28767,29497,20062
1941-05-07,492,28434,18932,28386
1941-05-08,493,24727,17462,27659
1941-05-09,494,4191,3393,19662
1941-05-10,495,22536,1930,13819
1941-05-11,496,18645,17449,24754
1941-05-12,497,2435,11733,11722
1941-05-13,498,23339,13490,26240
1941-05-14,499,15991,6343,14530
1941-05-15,500,29115,17788,24757
1941-05-16,501,22202,16723,26889
1941-05-17,502,14932,16731,2365
1941-05-18,503,29918,10886,17118
1941-05-19,504,25950,8966,15357
1941-05-20,505,24093,15266,27046
1941-05-21,506,469,17199,6313
1941-05-22,507,1664,874,152
1941-05-23,508,16730,873,14904
1941-05-24,509,16823,3857,18558
1941-05-25,510,13446,571,8241
1941-05-26,511,7908,17556,9338
1941-05-27,512,10526,21178,10253
1941-05-28,513,18927,8183,23675
1941-05-29,514,88,12719,1610
1941-05-30,515,27330,10011,25230
1941-05-31,516,8186,12417,28426
1941-06-01,517,9375,22233,10543
1941-06-02,518,517,10543,19663
1941-06-03,519,24485,18571,26241
1941-06-04,520,5240,25599,25852
1941-06-05,521,22222,26241,22211
1941-06-06,522,18200,13812,3432
1941-06-07,523,17465,12712,27329
1941-06-08,524,1251,19724,26979
1941-06-09,525,890,21861,15229
1941-06-10,526,8135,15379,2656
1941-06-11,527,9597,10023,22959
1941-06-12,528,16385,3815,14210
1941-06-13,529,28806,11989,11631
1941-06-14,530,29926,6377,6750
1941-06-15,531,484,18572,16375
1941-06-16,532,2720,484,531
1941-06-17,533,835,3388,23644
1941-06-18,534,13075,535,24803
1941-06-19,535,25876,134,12047
1941-06-20,536,26985,3762,28812
1941-06-21,537,2363,16486,18951
1941-06-22,538,2364,22178,20413
1941-06-23,539,19687,13114,28138
1941-06-24,540,23702,20050,24067
1941-06-25,541,12016,17494,1576
1941-06-26,542,24069,5290,15973
1941-06-27,543,2361,11287,28428
1941-06-28,544,2369,1983,20053
1941-06-29,545,29531,1666,20053
1941-06-30,546,7120,10042,21090
1941-07-01,547,18961,26266,9344
1941-07-02,548,7853,3866,23741
1941-07-03,549,11639,889,1623
1941-07-04,550,8960,4183,3056
1941-07-05,551,24796,4873,27338
1941-07-06,552,17536,2774,8222
1941-07-07,553,22607,29205,22606
1941-07-08,554,3142,1315,10933
1941-07-09,555,19699,15682,13157
1941-07-10,556,4939,12019,9353
1941-07-11,557,14254,11698,7528
1941-07-12,558,19641,14893,22502
1941-07-13,559,26886,20008,14529
1941-07-14,560,9995,13435,22590
1941-07-15,561,28045,6748,25915
1941-07-16,562,29568,21198,9693
1941-07-17,563,21899,18246,3485
1941-07-18,564,17863,29173,19699
1941-07-19,565,10531,8547,17469
1941-07-20,566,545,1666,18976
1941-07-21,567,17885,4524,3854
1941-07-22,568,3125,18982,21522
1941-07-23,569,12348,27049,20322
1941-07-24,570,27416,13445,6049
1941-07-25,571,8241,16063,13446
1941-07-26,572,16064,13904,13447
1941-07-27,573,4256,22152,19352
1941-07-28,574,8224,25517,10254
1941-07-29,575,29577,8923,4553
1941-07-30,576,13418,13865,20438
1941-07-31,577,18260,13148,6786
1941-08-01,578,18261,29131,17802
1941-08-02,579,935,28761,26584
